educ,economycode,pop_adult,wgt,female,age,inc_q,emp_in,urbanicity,account,borrowed,saved,receive_wages,receive_transfers,receive_pensions,pay_utilities,fin19,fin22a,fin24a,fin24c,fh2a,fh1,fh2,fin37,fin38,fin42,internet_use,con1,Income group
1.0,NIC,4830854,0.927314606237172,1,53,5.0,1.0,1.0,0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,Lower middle income
1.0,MLI,12725942,1.32348626635053,1,40,2.0,1.0,1.0,0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1,1,Low income
2.0,TUR,66691005,0.651800597747387,2,72,4.0,2.0,2.0,1,0.0,0.0,4.0,4.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0,1,Upper middle income
1.0,HND,7345357,0.434151806541922,1,57,3.0,1.0,1.0,0,0.0,0.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,2,Lower middle income
2.0,MDA,1966418,0.590504904066094,1,52,3.0,2.0,1.0,0,1.0,0.0,3.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,2,Upper middle income
1.0,LAO,5322750,0.279360631806542,2,78,5.0,1.0,1.0,1,0.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0,2,Lower middle income
2.0,PRY,4874331,0.322389552933222,2,60,5.0,1.0,2.0,0,0.0,0.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,Upper middle income
3.0,COM,532331,0.203402347917924,2,38,5.0,1.0,1.0,1,1.0,1.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1,1,Lower middle income
1.0,MRT,2860979,2.15534922946031,1,15,2.0,2.0,1.0,0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1,2,Lower middle income
2.0,DOM,8281568,1.06976578120751,1,22,3.0,1.0,1.0,1,1.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,Upper middle income
1.0,SEN,11094279,2.57323774002961,1,20,1.0,1.0,1.0,1,1.0,0.0,4.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,Lower middle income
2.0,TCD,10289880,0.386015782069713,2,32,4.0,1.0,1.0,1,1.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1,1,Low income
3.0,UKR,32338724,0.286525351105199,1,49,4.0,1.0,2.0,1,1.0,0.0,,,,,2.0,1.0,3.0,2.0,,,,,,,1,1,Upper middle income
3.0,LBY,5262910,0.557787300413939,2,22,1.0,2.0,1.0,1,0.0,0.0,,,,,2.0,2.0,3.0,1.0,,,,,,,1,1,Upper middle income
2.0,GMB,1598990,0.344393188000585,2,39,5.0,1.0,2.0,0,1.0,1.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1,Low income
1.0,NGA,133329232,4.26592510146533,2,30,1.0,1.0,2.0,0,1.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0,1,Lower middle income
1.0,CHN,1176678702,0.524666061176125,2,53,2.0,,,1,1.0,1.0,,,,,1.0,2.0,3.0,2.0,,,,,,,1,1,Upper middle income
1.0,VNM,76663207,0.301948793188691,2,29,4.0,1.0,2.0,1,0.0,0.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,1,Upper middle income
1.0,SLE,5200533,0.929961506135571,1,30,3.0,1.0,1.0,0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0,1,Low income
1.0,LBR,3295997,2.75137711320399,2,43,1.0,1.0,1.0,1,1.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0,2,Low income
2.0,BRA,169047814,0.352268484088952,1,67,5.0,2.0,2.0,1,1.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1,1,Upper middle income
1.0,LAO,5322750,0.83018143539515,2,49,4.0,1.0,1.0,0,0.0,0.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1,1,Lower middle income
2.0,TUR,66691005,1.305341910321,1,55,5.0,1.0,1.0,1,1.0,1.0,1.0,3.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1,1,Upper middle income
2.0,PAK,155833628,0.764136451073312,2,22,3.0,1.0,2.0,1,1.0,0.0,4.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1,1,Lower middle income
1.0,CHN,1176678702,0.553601454689225,1,56,3.0,,2.0,1,1.0,1.0,,,,,1.0,1.0,3.0,2.0,,,,,,,1,1,Upper middle income
1.0,MLI,12725942,0.804684850885462,1,58,3.0,1.0,1.0,0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0,2,Low income
2.0,TUN,9219268,0.805267487614933,1,20,3.0,2.0,1.0,0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,Lower middle income
1.0,UKR,32338724,3.63185105087964,2,18,3.0,2.0,1.0,1,0.0,1.0,,,,,2.0,2.0,2.0,2.0,,,,,,,1,1,Upper middle income
3.0,UZB,24646062,0.68203625079727,1,65,1.0,2.0,2.0,1,0.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1,1,Lower middle income
1.0,KEN,34616135,1.17352396737074,1,25,4.0,2.0,1.0,1,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1,1,Lower middle income
1.0,LAO,5322750,0.732442509448795,2,70,2.0,1.0,1.0,1,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0,1,Lower middle income
2.0,TUN,9219268,1.18219019247637,2,20,5.0,1.0,1.0,1,1.0,0.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1,1,Lower middle income
2.0,NAM,1858089,1.59915486348746,1,20,2.0,2.0,1.0,1,1.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1,1,Lower middle income
1.0,MAR,27893979,1.15883708379202,2,44,3.0,1.0,2.0,1,1.0,0.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,Lower middle income
2.0,AZE,7885113,1.35716680719532,1,17,2.0,2.0,1.0,0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,Upper middle income
1.0,IND,1077731602,1.24292164441994,1,40,2.0,2.0,2.0,1,0.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,Lower middle income
3.0,CHN,1176678702,0.652525936510415,1,26,4.0,,,1,0.0,1.0,,,,,1.0,2.0,3.0,2.0,,,,,,,1,1,Upper middle income
1.0,NIC,4830854,1.43606920365293,1,32,2.0,1.0,1.0,0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,Lower middle income
3.0,TUN,9219268,1.22045445973875,1,30,5.0,2.0,2.0,0,0.0,0.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,Lower middle income
1.0,KHM,12177453,0.669095631852466,1,53,2.0,1.0,1.0,0,1.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0,2,Lower middle income
3.0,PRY,4874331,0.993371973594572,1,50,3.0,1.0,1.0,1,1.0,0.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1,1,Upper middle income
1.0,NER,13873697,0.684057019514135,1,32,5.0,2.0,1.0,0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,2,Low income
